Dress Score,Stad Jump,Stad Time,XC Jump,XC Time,Final Score,Final Place,RF,Elimination
37,0,0,0,0,,,,
34.3,4,0,0,0,,,,
37.8,0,7.6,0,0,,,,
35.8,0,0,0,10.4,,,,
34,0,0,0,20,,,,
34.3,0,0,0,33.6,,,,
38.8,0,0,0,31.2,,,,
33.5,0,0,0,37.2,,,,
34,4,0,0,33.6,,,,
39.8,4,0,0,0,,,,
37.8,4,0,0,2.8,,,,
42,4,0,0,7.2,,,,
38.3,0,0,0,24.8,,,,
38.3,0,0,0,25.2,,,,
36.5,0,0,0,31.2,,,,
32.8,0,0,0,0,,,,
38.4,0,0,0,0,,,,
39.4,0,0,0,0,,,,
38.1,0,13.2,0,0,,,,
36.9,0,15.2,0,0,,,,
40.9,0,14.4,0,0,,,,
39.4,0,17.6,0,0,,,,
40.3,0,16.8,0,0,,,,
40.3,0,0,40,0,80.3,9,0,0
30.4,0,0,0,0,30.4,1,0,0
33.5,0,0,0,0,33.5,2,0,0
33,4,0,0,0,37,3,0,0
34.6,4,0,20,0,58.6,4,0,0
30.2,0,0,0,0,30.2,1,0,0
31.8,0,0,0,0,31.8,2,0,0
31.8,0,0,0,1.6,33.4,3,0,0
35.2,4,0,0,0,39.2,4,0,0
36.4,0,0,20,0,56.4,5,0,0
34.1,4,0,20,38.4,96.5,6,0,0
31.1,4,0,60,6.4,101.5,7,0,0
31.1,0,0,0,0,31.1,1,0,0
33.6,0,0,0,0,33.6,2,0,0
35.5,0,0,0,0.4,35.9,3,0,0
36.4,0,0,0,0,36.4,4,0,0
39.8,0,0,0,0,39.8,5,0,0
36.6,8,0,0,0,44.6,6,0,0
31.6,4,0,20,3.2,58.8,7,0,0
37.1,8,0,20,0,65.1,8,0,0
32.5,4,0,40,9.6,86.1,9,0,0
31.6,0,0,0,0,31.6,1,0,0
32.3,0,0,0,0,32.3,2,0,0
37.3,0,0,0,0,37.3,3,0,0
37.7,0,0,0,0,37.7,4,0,0
33.9,4,0,0,0,37.9,5,0,0
35.5,4,0,0,0.4,39.9,6,0,0
36.8,4,0,0,0,40.8,7,0,0
37.1,4,0,0,0,41.1,8,0,0
37.1,4,0,0,0,41.1,9,0,0
36.8,8,0,0,0,44.8,10,0,0
36.1,0,0,0,10.4,46.5,11,0,0
35,0,0,0,21.2,56.2,12,0,0
29.8,0,0,0,0,29.8,1,0,0
30.2,0,0,0,0,30.2,2,0,0
30.2,0,0,0,0,30.2,3,0,0
35,0,0,0,0,35,4,0,0
31.7,4,0,0,0,35.7,5,0,0
37.9,4,0,0,0,41.9,6,0,0
30,0,0,0,0,30,1,0,0
31.4,4,0,0,0,35.4,2,0,0
36.7,0,0,0,0,36.7,3,0,0
29.8,0,0,0,0,29.8,1,0,0
32.4,0,0,0,0,32.4,2,0,0
32.4,0,0,0,0.4,32.8,3,0,0
31.4,4,0,0,0,35.4,4,0,0
30,0,0,20,0,50,5,0,0
30.5,0,0,20,0,50.5,6,0,0
25.6,0,0,0,0,25.6,1,0,0
29.7,0,0,0,0,29.7,2,0,0
30.8,0,0,0,0,30.8,3,0,0
36.1,0,0,0,0,36.1,4,0,0
33.9,0,0,20,0,53.9,5,0,0
36.7,4,0,20,5.2,65.9,6,0,0
30.6,0,0,60,9.6,100.2,7,0,0
29.7,0,0,0,0,29.7,1,0,0
31.1,0,0,0,0,31.1,2,0,0
32.8,0,0,0,0,32.8,3,0,0
33.1,0,0,0,0,33.1,4,0,0
33.3,0,0,0,0,33.3,5,0,0
33.3,4,0,0,0,37.3,6,0,0
38.1,0,0,0,0,38.1,7,0,0
30.6,0,0,20,0,50.6,8,0,0
34.7,0,0,0,16.8,51.5,9,0,0
30.6,0,0,20,2.4,53,10,0,0
30.6,4,0,40,0,74.6,11,0,0
30.6,0,0,0,0,30.6,1,0,0
31.4,0,0,0,0,31.4,2,0,0
32.2,0,0,0,0,32.2,3,0,0
36.1,0,0,0,0,36.1,4,0,0
31.9,8,0,0,0,39.9,5,0,0
34.4,0,0,40,0,74.4,6,0,0
28.6,0,0,0,0,28.6,1,0,0
29.7,0,0,0,0,29.7,2,0,0
30.3,0,0,0,0,30.3,3,0,0
28.6,0,0,0,3.6,32.2,4,0,0
30.8,4,0,0,0,34.8,5,0,0
30.6,8,0,0,0,38.6,6,0,0
44.7,0,0,20,0,64.7,7,0,0
31.1,0,0,40,0,71.1,8,0,0
32.2,0,0,40,0,72.2,9,0,0
31.4,0,0,60,12.4,103.8,10,0,0
25.9,0,0,0,0,25.9,1,0,0
27.2,0,0,0,0,27.2,2,0,0
28.3,0,0,0,0,28.3,3,0,0
31.7,0,0,0,0,31.7,4,0,0
26.5,0,0,0,5.2,31.7,5,0,0
33,0,0,0,0,33,6,0,0
30,0,0,0,6,36,7,0,0
32.2,4,0,0,0,36.2,8,0,0
32.2,0,0,0,4.4,36.6,9,0,0
32.6,0,0,0,6.8,39.4,10,0,0
33.7,0,0,0,12.4,46.1,11,0,0
27,8,0,0,13.2,48.2,12,0,0
29.4,0,0,0,25.2,54.6,13,0,0
29.1,0,0,20,7.2,56.3,14,0,0
35,0,0,40,24,99,15,0,0
34.4,0,0,0,2.4,36.8,1,0,0
34.4,4,0,0,1.2,39.6,2,0,0
36.5,0,0,0,4.8,41.3,3,0,0
33.9,0,0,0,9.2,43.1,4,0,0
34.6,4,0,0,4.8,43.4,5,0,0
36.5,8,0,0,2,46.5,6,0,0
42.4,0,0,0,13.2,55.6,7,0,0
32.8,0,0,20,12.4,65.2,8,0,0
42.2,16,0,0,20,78.2,9,0,0
34.4,12,0,60,32.8,139.2,10,0,0
31.4,0,0,0,0,31.4,1,0,0
35.2,0,0,0,0,35.2,2,0,0
33.6,4,0,0,0,37.6,3,0,0
35,4,0,0,0,39,4,0,0
36.2,4,0,0,0,40.2,5,0,0
40,8,0,0,0,48,6,0,0
34.3,0,0,20,12.4,66.7,7,0,0
33.8,0,0,40,6.8,80.6,8,0,0
27.1,0,0,0,0,27.1,1,0,0
32.1,0,0,0,0,32.1,2,0,0
28.3,4,0,0,0,32.3,3,0,0
32.6,0,0,0,0,32.6,4,0,0
40,0,0,0,0,40,5,0,0
40,0,0,0,3.6,43.6,6,0,0
36.2,0,0,20,0,56.2,7,0,0
31,0,0,0,0,31,1,0,0
33.6,0,0,0,0,33.6,2,0,0
35.2,0,0,0,2.4,37.6,3,0,0
38.8,0,0,0,0,38.8,4,0,0
38.8,0,0,0,0,38.8,5,0,0
33.6,0,0,0,11.6,45.2,6,0,0
34.5,4,0,20,1.6,60.1,7,0,0
33.6,8,0,20,11.2,72.8,8,0,0
29.8,0,0,0,0,29.8,1,0,0
32.1,0,0,0,0,32.1,2,0,0
32.4,0,0,0,0,32.4,3,0,0
30.5,4,0,0,0,34.5,4,0,0
32.6,4,0,0,0,36.6,5,0,0
37.4,0,0,0,0,37.4,6,0,0
38.6,4,0,0,0,42.6,7,0,0
34.8,8,0,0,0,42.8,8,0,0
33.6,0,0,20,30,83.6,9,0,0
32.6,4,0,0,0,36.6,1,0,0
38.1,0,0,0,0,38.1,2,0,0
35,4,0,0,0,39,3,0,0
31.2,8,0,0,0,39.2,4,0,0
37.9,4,0,0,0,41.9,5,0,0
38.3,4,0,0,0,42.3,6,0,0
40.5,4,0,0,0,44.5,7,0,0
30.5,4,0,20,0,54.5,8,0,0
35.5,24,15.6,0,15.2,90.3,9,0,0
26.2,0,0,0,0,26.2,1,0,0
26.2,0,0,0,0,26.2,2,0,0
26.4,0,0,0,0,26.4,3,0,0
26.4,0,0,0,0,26.4,4,0,0
27.6,0,0,0,0,27.6,5,0,0
30.7,0,0,0,0,30.7,6,0,0
28.1,0,0,0,4,32.1,7,0,0
32.4,0,0,0,0,32.4,8,0,0
32.4,0,0,0,0,32.4,9,0,0
32.4,0,0,0,0,32.4,10,0,0
31.2,4,0,0,0.4,35.6,11,0,0
33.3,4,0,0,2,39.3,12,0,0
36,4,0,0,0,40,13,0,0
33.8,20,0,20,2,75.8,14,0,0
32.6,4,0,20,20.4,77,15,0,0
27.8,4,0,0,0,31.8,1,0,0
30.3,0,0,0,2,32.3,2,0,0
34.4,0,0,0,0,34.4,3,0,0
36.4,0,0,0,0,36.4,4,0,0
38.9,0,0,0,0,38.9,5,0,0
35.3,4,0,0,0,39.3,6,0,0
36.1,4,0,0,0,40.1,7,0,0
41.4,4,0,0,0,45.4,8,0,0
42.8,4,0,0,0,46.8,9,0,0
37.5,0,0,0,14,51.5,10,0,0
36.1,0,0,20,2.8,58.9,11,0,0
37.8,0,0,0,22.4,60.2,12,0,0
34.2,0,0,0,57.6,91.8,13,0,0
27.2,0,0,0,0,27.2,1,0,0
35.3,0,0,0,1.6,36.9,2,0,0
40.3,0,0,0,0,40.3,3,0,0
36.9,4,0,0,0,40.9,4,0,0
38.9,4,0,0,0,42.9,5,0,0
35.6,8,0,0,0,43.6,6,0,0
37.2,8,0,0,0,45.2,7,0,0
36.9,0,0,20,0,56.9,8,0,0
35.8,0,0,0,0,35.8,1,0,0
32.8,4,0,0,0,36.8,2,0,0
43.1,0,0,0,0,43.1,3,0,0
41.7,0,2.8,0,0,44.5,4,0,0
38.6,0,0,40,0,78.6,5,0,0
40.2,8,0,0,12,60.2,1,0,0
34.1,16,0,20,20.4,90.5,2,0,0
31.9,4,0,0,0.8,36.7,1,0,0
35.7,4,0,0,0,39.7,2,0,0
29.1,0,0,0,2,31.1,1,0,0
32.8,0,0,0,8.4,41.2,2,0,0
32.8,8,0,0,0.8,41.6,3,0,0
29.6,4,0,0,10,43.6,4,0,0
31.1,8,0,0,5.6,44.7,5,0,0
34.6,12,0,0,0.4,47,6,0,0
37,0,0,0,10.4,47.4,7,0,0
32.2,8,0,0,18.8,59,8,0,0
